"";"PRECIPITACAO";"PRESSAO";"TEMPERATURA";"UMIDADE";"VENTO";"ACIDENTE";"LUAR";"LUA_DISTANCIA"
"1";0;968,5;20,5;86;3,6;0;4;56
"2";0;968,2;20,3;88;1,08;0;4;56
"3";6,4;968,2;20,3;88;9,72;0;4;56
"4";0,2;967,9;20,4;86;6,12;0;4;56
"5";1,6;967,5;19,5;92;5,4;0;4;56
"6";0;966,4;19,3;93;2,88;0;4;56
"7";0;966,4;19,2;93;3,24;0;4;56
"8";0,2;966;18,7;95;0,72;0;4;56
"9";0,8;965,6;18,8;95;5,76;0;4;56
"10";0;965,8;19,2;89;3,96;0;4;56
"11";0;967,3;18,3;94;0;0;4;56
"12";0,8;968,1;19,8;92;3,6;0;4;56
"13";0;967,6;21,8;81;14,04;0;4;56
"14";0;970,9;21,6;85;15,84;0;4;56
"15";0;969,6;22,1;79;1,44;0;4;56
"16";0;967,9;23,5;75;6,84;0;4;56
"17";0;970;22,4;82;7,2;0;4;56
"18";3,8;967,9;20,6;93;3,96;0;4;56
"19";0,8;966,5;20,6;94;1,44;0;4;56
"20";0,8;965;20,4;94;11,88;0;4;56
"21";0,2;966,6;20,4;90;10,8;0;4;56
"22";0,2;966,8;19,9;90;5,4;0;4;56
"23";0;966,5;19,4;92;5,76;0;4;56
"24";0;966,7;18,7;95;2,16;0;4;56
"25";0;967,5;18,7;94;6,48;0;9;57
"26";0;968,2;18,8;95;1,08;0;9;57
"27";0;967,8;18,6;95;1,44;0;9;57
"28";0;967,8;19;95;2,52;0;9;57
"29";0;967,8;19,2;94;3,6;0;9;57
"30";0;967,3;18,9;94;1,8;0;9;57
"31";0;966,5;19;95;1,08;0;9;57
"32";0;966,5;19;95;2,16;0;9;57
"33";0;966,5;19,1;93;2,88;0;9;57
"34";0;967;18,7;94;1,08;0;9;57
"35";0;967,8;18,8;93;2,88;0;9;57
"36";0;968,2;19,5;90;0,36;0;9;57
"37";0;969,1;19,8;87;4,32;0;9;57
"38";0;969,3;20,3;84;3,96;0;9;57
"39";0;969,5;20,7;84;0,72;0;9;57
"40";0;968,9;20,6;86;7,56;0;9;57
"41";0;968,2;21,7;82;7,92;0;9;57
"42";0;967,6;22,3;78;5,76;0;9;57
"43";0;966,8;22,8;76;5,04;0;9;57
"44";0;966,5;23,2;73;4,68;0;9;57
"45";0;966,7;23,2;73;5,4;0;9;57
"46";0;967;22,6;76;4,68;0;9;57
"47";0;967,5;19,9;89;0;0;9;57
"48";0;967,8;18,9;94;0;0;9;57
"49";0;968,4;17,9;95;0;0;16;57
"50";0;968,7;17,6;96;0;0;16;57
"51";0;968,8;16,8;96;0;0;16;57
"52";0;968,7;15,8;96;0;0;16;57
"53";0;968,4;16,2;97;1,08;0;16;57
"54";0;968;17,6;97;4,32;0;16;57
"55";0;967,9;17,5;97;2,88;0;16;57
"56";0;967,8;16,7;97;0;0;16;57
"57";0;967,9;16;97;0;0;16;57
"58";0;968,5;15,9;97;3,24;0;16;57
"59";0;969,2;15,7;97;1,44;0;16;57
"60";0;969,5;18,2;97;0,36;0;16;57
"61";0,2;970,7;18;94;15,48;0;16;57
"62";0;971;19,5;90;7,56;0;16;57
"63";0;970,9;22,6;79;5,76;0;16;57
"64";0;970,2;24,5;71;12,24;0;16;57
"65";0,6;970,2;21,9;82;9,72;0;16;57
"66";1,2;968,9;23,9;75;6,48;0;16;57
"67";0;968,5;25,3;67;7,2;0;16;57
"68";0;968,2;25,6;68;8,64;0;16;57
"69";0;968,1;25,8;65;4,68;0;16;57
"70";0;968,7;24,3;73;6,48;0;16;57
"71";0;968,9;22,1;83;2,88;0;16;57
"72";0;969,8;21;89;4,32;0;16;57
"73";0;969,9;20,3;93;3,96;0;25;58
"74";0;970,1;20;93;0,72;0;25;58
"75";0;970,1;19,5;94;1,8;0;25;58
"76";0;970,1;17,7;96;0,36;0;25;58
"77";0;970,1;17;96;0;0;25;58
"78";0;969,6;16,8;97;0;0;25;58
"79";0;969,8;16,1;97;1,08;0;25;58
"80";0;970,1;16,4;97;0,72;0;25;58
"81";0;970,8;16,6;97;0;0;25;58
"82";0;971,3;16,7;97;3,24;0;25;58
"83";0;971,9;17,1;97;0;0;25;58
"84";0;972,3;17,8;97;0;0;25;58
"85";0;972,8;20,9;97;3,6;0;25;58
"86";0;973,1;22,4;78;10,44;0;25;58
"87";0;973,3;24,6;70;11,16;0;25;58
"88";0;972,7;26,9;63;10,08;0;25;58
"89";0;972,2;28,2;58;10,08;0;25;58
"90";0;971,4;28,8;54;8,64;0;25;58
"91";0;970,5;29,5;50;10,8;0;25;58
"92";0;970,3;29,2;52;11,16;0;25;58
"93";0;970,4;28,9;51;9,72;0;25;58
"94";0;970,6;27,2;58;9,72;0;25;58
"95";0;971,1;25;67;6,12;0;25;58
"96";0;971,8;23,4;75;0,72;0;25;58
"97";0;972,5;22,4;80;0,36;0;35;59
"98";0;972,6;22,1;80;3,6;0;35;59
"99";0;973;22,1;76;8,64;0;35;59
"100";0;973,6;20,6;77;10,8;0;35;59
"101";0;973,5;19,5;77;13,68;0;35;59
"102";0;973,2;17,9;82;9;0;35;59
"103";0;973;16,7;84;12,96;0;35;59
"104";0;973,1;16;85;13,32;0;35;59
"105";0;973,3;15,6;85;8,64;0;35;59
"106";0;973,7;15,4;85;11,16;0;35;59
"107";0;974,5;15,5;85;10,44;0;35;59
"108";0;975,3;16,1;83;6,84;0;35;59
"109";0;975,7;18,7;72;18,36;0;35;59
"110";0;975,6;20,4;64;20,16;0;35;59
"111";0;975,4;22,1;61;16,2;0;35;59
"112";0;974,5;24,6;53;18;0;35;59
"113";0;974;25,2;51;16,2;0;35;59
"114";0;973,2;25,6;50;16,2;0;35;59
"115";0;972,7;25,2;50;20,16;0;35;59
"116";0;972,6;24,4;51;18;0;35;59
"117";0;972,8;23,5;52;22,68;0;35;59
"118";0;973,5;21,6;58;19,8;0;35;59
"119";0;974,1;20,1;62;19,44;0;35;59
"120";0;974,9;18,5;66;20,88;0;35;59
"121";0;975,7;17,4;69;16,56;0;45;60
"122";0;975,5;16,3;72;17,28;0;45;60
"123";0;975,1;15,8;74;15,48;0;45;60
"124";0;974,6;15,2;76;12,24;0;45;60
